Value,Mandatory QA flags,Data quality flag,Cloud/Ocean Flag,Iterations,Atmospheric Opacity,MMD,Emissivity accuracy,LST accuracy
39617,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39618,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39621,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39622,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39872,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39873,"Pixel produced, nominal quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39874,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39877,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
39878,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40386,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40640,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40642,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40645,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40646,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40896,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40898,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40901,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
40902,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),1 - 1.5 K (Good performance)
43712,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance)
43714,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance)
43717,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance)
44736,"Pixel produced, best quality",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance)
44738,"Pixel produced, but cloud detected",Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance)
44741,"Pixel produced, nominal quality",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance)
44742,"Pixel produced, but cloud detected",Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.01 - 0.015 (Good performance),1 - 1.5 K (Good performance)
