File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022165083608_aid0001,SDS_LST,aid0001,2022-06-14 08:36:08 UTC,22332,006,0601,True,67096.0,286.94,309.56,"(286.94,309.56)",296.7666621,3.1215168,9.7438668,298.84,305.2,296.52,288.28,294.58
ECO2LSTE_001_SDS_LST_doy2022167083541_aid0001,SDS_LST,aid0001,2022-06-16 08:35:41 UTC,22363,006,0601,True,76608.0,255.08,308.6,"(255.08,308.6)",280.5601838,13.8987575,193.1754597,293.0,308.6,282.2,255.08,267.7
ECO2LSTE_001_SDS_LST_doy2022167114921_aid0001,SDS_LST,aid0001,2022-06-16 11:49:21 UTC,22365,009,0601,True,28588.0,150.34,340.04,"(150.34,340.04)",274.5217035,23.2429188,540.2332739,291.965,307.18,283.62,214.9,261.1
ECO2LSTE_001_SDS_LST_doy2022171101302_aid0001,SDS_LST,aid0001,2022-06-20 10:13:02 UTC,22426,010,0601,True,76944.0,259.5,307.9,"(259.5,307.9)",280.4956623,8.2084217,67.3781861,285.86,302.98,279.26,259.5,274.44
ECO2LSTE_001_SDS_LST_doy2022174092618_aid0001,SDS_LST,aid0001,2022-06-23 09:26:18 UTC,22472,011,0601,True,76944.0,277.96,317.86,"(277.96,317.86)",300.932486,4.0747699,16.6037497,303.36,310.08,301.04,292.16,298.88
ECO2LSTE_001_SDS_LST_doy2022175052306_aid0001,SDS_LST,aid0001,2022-06-24 05:23:06 UTC,22485,006,0601,True,76944.0,240.5,289.42,"(240.5,289.42)",260.936747,8.417853,70.8602488,264.32,277.94,259.0,241.72,255.24
ECO2LSTE_001_SDS_LST_doy2022175083754_aid0001,SDS_LST,aid0001,2022-06-24 08:37:54 UTC,22487,011,0601,True,76836.0,259.04,295.14,"(259.04,295.14)",267.6748352,6.2626989,39.2213969,269.685,278.6,265.5,259.04,263.74
ECO2LSTE_001_SDS_LST_doy2022178074953_aid0001,SDS_LST,aid0001,2022-06-27 07:49:53 UTC,22533,010,0601,True,76944.0,292.36,311.96,"(292.36,311.96)",299.7620553,2.5393878,6.4484904,301.34,306.34,299.52,293.0,298.0
ECO2LSTE_001_SDS_LST_doy2022179034755_aid0001,SDS_LST,aid0001,2022-06-28 03:47:55 UTC,22546,004,0601,True,76715.0,274.8,287.32,"(274.8,287.32)",278.2208277,2.496426,6.2321426,279.42,284.04,277.26,274.8,276.34
ECO2LSTE_001_SDS_LST_doy2022183052533_aid0001,SDS_LST,aid0001,2022-07-02 05:25:33 UTC,22609,006,0601,True,76944.0,281.42,289.74,"(281.42,289.74)",285.9424241,1.0986994,1.2071404,286.72,288.76,286.18,283.32,285.36
ECO2LSTE_001_SDS_LST_doy2022185052618_aid0001,SDS_LST,aid0001,2022-07-04 05:26:18 UTC,22640,010,0601,True,76944.0,244.46,291.78,"(244.46,291.78)",277.8234331,13.1841752,173.8224754,288.12,291.78,285.36,244.46,267.9
ECO2LSTE_001_SDS_LST_doy2022186043818_aid0001,SDS_LST,aid0001,2022-07-05 04:38:18 UTC,22655,005,0601,True,76944.0,225.74,259.72,"(225.74,259.72)",247.5200281,4.4483544,19.7878565,250.34,258.32,248.24,237.04,245.02
ECO2LSTE_001_SDS_LST_doy2022187035001_aid0001,SDS_LST,aid0001,2022-07-06 03:50:01 UTC,22670,012,0601,True,77173.0,260.06,289.88,"(260.06,289.88)",279.0138484,6.9692151,48.5699595,285.4,289.88,280.92,260.06,273.82
ECO2LSTE_001_SDS_LST_doy2022189035019_aid0001,SDS_LST,aid0001,2022-07-08 03:50:19 UTC,22701,012,0601,False,76944.0,260.64,275.44,"(260.64,275.44)",265.3029024,2.675218,7.1567913,267.38,273.78,264.48,260.64,263.1
ECO2LSTE_001_SDS_LST_doy2022191221048_aid0001,SDS_LST,aid0001,2022-07-10 22:10:48 UTC,22744,010,0601,True,76608.0,267.12,278.8,"(267.12,278.8)",269.390518,0.7942798,0.6308804,269.62,270.6,269.28,267.98,268.96
ECO2LSTE_001_SDS_LST_doy2022193221133_aid0001,SDS_LST,aid0001,2022-07-12 22:11:33 UTC,22776,004,0601,True,76380.0,267.86,281.18,"(267.86,281.18)",275.0934708,2.0068312,4.0273714,276.48,280.14,275.34,270.38,274.04
ECO2LSTE_001_SDS_LST_doy2022197234909_aid0001,SDS_LST,aid0001,2022-07-16 23:49:09 UTC,22839,011,0601,False,62210.0,280.14,291.44,"(280.14,291.44)",284.632325,1.5039613,2.2618997,285.7,288.9,284.5,280.36,283.56
ECO2LSTE_001_SDS_LST_doy2022203172038_aid0001,SDS_LST,aid0001,2022-07-22 17:20:38 UTC,22928,005,0601,True,329.0,294.66,299.12,"(294.66,299.12)",296.3328267,0.7169199,0.5139741,296.72,297.9,296.3,294.66,295.86
ECO2LSTE_001_SDS_LST_doy2022206163220_aid0001,SDS_LST,aid0001,2022-07-25 16:32:20 UTC,22974,005,0601,True,76608.0,290.82,316.06,"(290.82,316.06)",304.9354804,2.8138619,7.9178186,306.7,312.04,304.62,297.8,303.14
ECO2LSTE_001_SDS_LST_doy2022209154345_aid0001,SDS_LST,aid0001,2022-07-28 15:43:45 UTC,23020,007,0601,True,76608.0,290.72,308.9,"(290.72,308.9)",300.4766933,2.5448713,6.4763699,302.18,307.3,300.16,293.64,298.76
ECO2LSTE_001_SDS_LST_doy2022213140602_aid0001,SDS_LST,aid0001,2022-08-01 14:06:02 UTC,23081,008,0601,True,76380.0,252.66,312.78,"(252.66,312.78)",280.5583865,15.4110431,237.5002509,294.68,312.78,281.38,252.66,266.64
ECO2LSTE_001_SDS_LST_doy2022213172003_aid0001,SDS_LST,aid0001,2022-08-01 17:20:03 UTC,23083,006,0601,True,76944.0,247.74,299.08,"(247.74,299.08)",266.410641,15.9253966,253.6182567,282.02,299.08,259.34,247.74,252.26
ECO2LSTE_001_SDS_LST_doy2022214131711_aid0001,SDS_LST,aid0001,2022-08-02 13:17:11 UTC,23096,005,0601,True,76608.0,276.16,318.04,"(276.16,318.04)",303.1649005,5.4948418,30.1932868,306.62,316.06,303.58,290.88,300.32
ECO2LSTE_001_SDS_LST_doy2022215171933_aid0001,SDS_LST,aid0001,2022-08-03 17:19:33 UTC,23114,014,0601,True,76608.0,291.78,305.86,"(291.78,305.86)",298.5143797,1.9933537,3.973459,299.78,303.62,298.26,293.38,297.22
ECO2LSTE_001_SDS_LST_doy2022216131700_aid0001,SDS_LST,aid0001,2022-08-04 13:17:00 UTC,23127,006,0601,True,12058.0,299.62,316.14,"(299.62,316.14)",307.0999104,2.5778842,6.6454871,308.66,313.54,306.94,300.52,305.4
ECO2LSTE_001_SDS_LST_doy2022216163042_aid0001,SDS_LST,aid0001,2022-08-04 16:30:42 UTC,23129,012,0601,True,76608.0,294.46,310.76,"(294.46,310.76)",302.473077,2.4058382,5.7880572,303.96,308.54,302.06,296.32,300.9
ECO2LSTE_001_SDS_LST_doy2022217122848_aid0001,SDS_LST,aid0001,2022-08-05 12:28:48 UTC,23142,007,0601,True,76608.0,252.22,320.58,"(252.22,320.58)",298.1523434,12.3177516,151.7270035,306.1,320.58,302.46,275.3,293.78
ECO2LSTE_001_SDS_LST_doy2022218113950_aid0001,SDS_LST,aid0001,2022-08-06 11:39:50 UTC,23157,007,0601,True,74803.0,150.04,277.76,"(150.04,277.76)",253.2793206,19.0061315,361.2330345,265.28,277.76,260.66,221.58,247.8
ECO2LSTE_001_SDS_LST_doy2022219154220_aid0001,SDS_LST,aid0001,2022-08-07 15:42:20 UTC,23175,013,0601,True,76944.0,226.58,297.04,"(226.58,297.04)",278.4181004,9.5130711,90.4985214,285.16,297.04,278.71,257.36,274.04
ECO2LSTE_001_SDS_LST_doy2022220113912_aid0001,SDS_LST,aid0001,2022-08-08 11:39:12 UTC,23188,008,0601,True,76608.0,277.2,316.44,"(277.2,316.44)",299.8067591,5.5780927,31.1151181,303.46,312.88,300.62,287.72,297.16
ECO2LSTE_001_SDS_LST_doy2022220145344_aid0001,SDS_LST,aid0001,2022-08-08 14:53:44 UTC,23190,013,0601,True,76608.0,287.8,312.62,"(287.8,312.62)",299.1903135,3.1885498,10.1668499,301.44,307.94,299.08,290.6,297.1
ECO2LSTE_001_SDS_LST_doy2022221105047_aid0001,SDS_LST,aid0001,2022-08-09 10:50:47 UTC,23204,005,0601,True,76380.0,290.32,317.16,"(290.32,317.16)",302.7069241,3.7046893,13.724723,305.36,313.02,302.98,292.56,300.24
ECO2LSTE_001_SDS_LST_doy2022223140441_aid0001,SDS_LST,aid0001,2022-08-11 14:04:41 UTC,23237,012,0601,True,76944.0,170.32,276.22,"(170.32,276.22)",254.7399041,9.6671359,93.4535164,262.105,276.22,255.78,228.9,248.82
ECO2LSTE_001_SDS_LST_doy2022225091334_aid0001,SDS_LST,aid0001,2022-08-13 09:13:34 UTC,23265,007,0601,True,76380.0,261.54,306.74,"(261.54,306.74)",294.2911134,7.0461248,49.6478743,298.84,306.74,296.06,282.6,292.34
ECO2LSTE_001_SDS_LST_doy2022226082427_aid0001,SDS_LST,aid0001,2022-08-14 08:24:27 UTC,23280,009,0601,True,33497.0,291.78,307.5,"(291.78,307.5)",299.4320023,2.7281447,7.4427733,301.4,307.08,299.44,291.78,297.34
ECO2LSTE_001_SDS_LST_doy2022227122634_aid0001,SDS_LST,aid0001,2022-08-15 12:26:34 UTC,23298,012,0601,True,68220.0,242.94,303.18,"(242.94,303.18)",289.2070806,7.7145468,59.5142324,294.72,303.18,291.04,271.82,285.56
ECO2LSTE_001_SDS_LST_doy2022227122726_aid0001,SDS_LST,aid0001,2022-08-15 12:27:26 UTC,23298,013,0601,True,19316.0,271.48,301.7,"(271.48,301.7)",288.2372127,4.7304363,22.377028,291.76,301.7,288.02,275.04,285.04
ECO2LSTE_001_SDS_LST_doy2022228082423_aid0001,SDS_LST,aid0001,2022-08-16 08:24:23 UTC,23312,006,0601,True,76608.0,288.34,306.18,"(288.34,306.18)",297.3928021,2.5414203,6.458817,299.34,304.72,297.62,290.3,295.72
ECO2LSTE_001_SDS_LST_doy2022228113839_aid0001,SDS_LST,aid0001,2022-08-16 11:38:39 UTC,23314,011,0601,True,76944.0,280.26,323.78,"(280.26,323.78)",306.8681506,4.5333756,20.5514946,309.98,318.58,307.48,295.64,304.24
ECO2LSTE_001_SDS_LST_doy2022229073524_aid0001,SDS_LST,aid0001,2022-08-17 07:35:24 UTC,23327,006,0601,True,76608.0,291.28,306.08,"(291.28,306.08)",298.5809051,2.0712916,4.2902489,300.12,304.52,298.76,292.78,297.18
ECO2LSTE_001_SDS_LST_doy2022231104950_aid0001,SDS_LST,aid0001,2022-08-19 10:49:50 UTC,23360,010,0601,True,8179.0,150.12,263.42,"(150.12,263.42)",234.4346448,20.8612602,435.192177,249.83,263.42,240.9,186.84,224.58
ECO2LSTE_001_SDS_LST_doy2022232064641_aid0001,SDS_LST,aid0001,2022-08-20 06:46:41 UTC,23373,006,0601,True,30193.0,150.0,256.52,"(150.0,256.52)",219.5671984,19.6886676,387.6436302,233.8,256.52,222.92,173.56,209.7
ECO2LSTE_001_SDS_LST_doy2022232100050_aid0001,SDS_LST,aid0001,2022-08-20 10:00:50 UTC,23375,007,0601,True,75146.0,150.0,254.98,"(150.0,254.98)",238.0348029,13.859967,192.0986862,248.38,254.98,242.06,204.9,230.985
ECO2LSTE_001_SDS_LST_doy2022233055747_aid0001,SDS_LST,aid0001,2022-08-21 05:57:47 UTC,23388,006,0601,True,76380.0,238.72,281.52,"(238.72,281.52)",261.1560856,8.3165995,69.1658268,267.48,281.52,261.36,238.72,254.94
ECO2LSTE_001_SDS_LST_doy2022234100011_aid0001,SDS_LST,aid0001,2022-08-22 10:00:11 UTC,23406,013,0601,True,76944.0,273.92,316.82,"(273.92,316.82)",294.2162425,6.1150558,37.3939072,298.56,310.54,294.84,278.56,290.56
ECO2LSTE_001_SDS_LST_doy2022235091159_aid0001,SDS_LST,aid0001,2022-08-23 09:11:59 UTC,23421,012,0601,True,76944.0,227.94,287.94,"(227.94,287.94)",261.539327,9.5439751,91.0874614,268.32,287.94,260.8,234.64,254.84
ECO2LSTE_001_SDS_LST_doy2022236050828_aid0001,SDS_LST,aid0001,2022-08-24 05:08:28 UTC,23434,003,0601,True,53332.0,282.28,290.22,"(282.28,290.22)",285.6005498,1.0250454,1.050718,286.28,288.32,285.56,282.88,284.92
ECO2LSTE_001_SDS_LST_doy2022236050919_aid0001,SDS_LST,aid0001,2022-08-24 05:09:19 UTC,23434,004,0601,True,36362.0,282.22,290.38,"(282.22,290.38)",285.833035,0.7468996,0.5578591,286.3,287.64,285.88,284.06,285.4
ECO2LSTE_001_SDS_LST_doy2022236082259_aid0001,SDS_LST,aid0001,2022-08-24 08:22:59 UTC,23436,011,0601,True,76608.0,285.08,307.24,"(285.08,307.24)",295.7146684,2.7783967,7.7194883,297.56,302.62,296.12,289.12,294.18
ECO2LSTE_001_SDS_LST_doy2022237042030_aid0001,SDS_LST,aid0001,2022-08-25 04:20:30 UTC,23449,007,0601,True,76608.0,281.06,291.38,"(281.06,291.38)",285.0349065,1.1231662,1.2615023,285.82,288.1,285.02,282.02,284.3
ECO2LSTE_001_SDS_LST_doy2022238082258_aid0001,SDS_LST,aid0001,2022-08-26 08:22:58 UTC,23467,012,0601,True,76836.0,255.34,306.64,"(255.34,306.64)",290.5268465,10.2341984,104.7388175,297.8,306.64,294.8,266.66,285.34
ECO2LSTE_001_SDS_LST_doy2022239042037_aid0001,SDS_LST,aid0001,2022-08-27 04:20:37 UTC,23480,005,0601,True,26833.0,227.52,256.1,"(227.52,256.1)",246.2846301,3.5030296,12.2712164,248.32,253.92,246.58,239.0,244.58
ECO2LSTE_001_SDS_LST_doy2022242064558_aid0001,SDS_LST,aid0001,2022-08-30 06:45:58 UTC,23529,005,0601,True,77173.0,285.68,295.22,"(285.68,295.22)",290.4493375,1.0895508,1.1871209,291.22,293.36,290.62,287.62,289.78
