File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022152141303_aid0001,SDS_LST,aid0001,2022-06-01 14:13:03 UTC,22133,006,0601,True,76944.0,231.92,291.22,"(231.92,291.22)",265.9428,9.97443,99.4892537,272.72,291.22,266.38,239.62,259.46
ECO2LSTE_001_SDS_LST_doy2022152172721_aid0001,SDS_LST,aid0001,2022-06-01 17:27:21 UTC,22135,013,0601,True,75414.0,228.34,279.8,"(228.34,279.8)",261.5177707,5.6795317,32.2570806,264.92,275.12,261.74,247.92,258.12
ECO2LSTE_001_SDS_LST_doy2022155132510_aid0001,SDS_LST,aid0001,2022-06-04 13:25:10 UTC,22179,006,0601,True,55608.0,292.92,315.92,"(292.92,315.92)",302.2210894,3.2799348,10.757972,304.42,311.22,301.46,293.1,299.88
ECO2LSTE_001_SDS_LST_doy2022155163950_aid0001,SDS_LST,aid0001,2022-06-04 16:39:50 UTC,22181,013,0601,True,76944.0,283.62,304.62,"(283.62,304.62)",296.8422694,2.1604029,4.6673408,298.08,301.68,296.7,292.08,295.68
ECO2LSTE_001_SDS_LST_doy2022157114837_aid0001,SDS_LST,aid0001,2022-06-06 11:48:37 UTC,22209,005,0601,True,76608.0,271.34,319.8,"(271.34,319.8)",299.4653731,5.8760919,34.5284557,302.92,312.1,299.72,287.62,296.8
ECO2LSTE_001_SDS_LST_doy2022158155126_aid0001,SDS_LST,aid0001,2022-06-07 15:51:26 UTC,22228,012,0601,True,76836.0,237.12,261.78,"(237.12,261.78)",251.7330233,4.6020178,21.1785677,255.34,261.78,252.78,238.8,248.72
ECO2LSTE_001_SDS_LST_doy2022159114848_aid0001,SDS_LST,aid0001,2022-06-08 11:48:48 UTC,22241,007,0601,True,76608.0,271.58,315.62,"(271.58,315.62)",295.8254592,5.7903228,33.527838,299.4,309.24,296.36,283.0,292.84
ECO2LSTE_001_SDS_LST_doy2022161101222_aid0001,SDS_LST,aid0001,2022-06-10 10:12:22 UTC,22271,009,0601,True,76380.0,254.16,304.12,"(254.16,304.12)",282.1826279,7.8128147,61.0400728,287.38,300.94,281.52,264.74,278.32
ECO2LSTE_001_SDS_LST_doy2022162141511_aid0001,SDS_LST,aid0001,2022-06-11 14:15:11 UTC,22289,013,0601,True,76608.0,271.04,313.16,"(271.04,313.16)",300.0342387,4.6114437,21.265413,302.96,311.12,299.74,289.36,297.52
ECO2LSTE_001_SDS_LST_doy2022163101218_aid0001,SDS_LST,aid0001,2022-06-12 10:12:18 UTC,22302,006,0601,True,76608.0,291.82,319.38,"(291.82,319.38)",302.2696295,3.7466581,14.0374468,304.7,312.26,301.7,292.16,299.66
ECO2LSTE_001_SDS_LST_doy2022163132653_aid0001,SDS_LST,aid0001,2022-06-12 13:26:53 UTC,22304,013,0601,True,76608.0,292.48,321.32,"(292.48,321.32)",303.1823619,3.9656491,15.7263729,305.8,314.08,302.44,292.48,300.28
ECO2LSTE_001_SDS_LST_doy2022164092420_aid0001,SDS_LST,aid0001,2022-06-13 09:24:20 UTC,22317,008,0601,True,76608.0,252.42,289.7,"(252.42,289.7)",264.6652786,6.6547808,44.2861073,268.88,283.22,263.56,252.42,259.32
ECO2LSTE_001_SDS_LST_doy2022165083516_aid0001,SDS_LST,aid0001,2022-06-14 08:35:16 UTC,22332,005,0601,True,25959.0,291.32,310.0,"(291.32,310.0)",296.8976848,2.6407857,6.9737493,298.6,304.24,296.56,291.32,294.84
