File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,2,3,14,15,23,31,32,33,34,35,46,47,55,63
SDS_CloudMask_2022209_aid0001,aid0001,2022-07-28 15:43:45+00:00,23020,007,0601,True,,76482.0,,,,,,,,126.0,,,,,,
SDS_CloudMask_2022213_aid0001,aid0001,2022-08-01 14:06:02+00:00,23081,008,0601,True,,,,11840.0,,10472.0,33619.0,20321.0,,,,15.0,,,107.0,6.0
SDS_CloudMask_2022213_aid0001,aid0001,2022-08-01 17:20:03+00:00,23083,006,0601,True,,,,7646.0,,28194.0,15955.0,25025.0,,,,,,20.0,55.0,49.0
SDS_CloudMask_2022214_aid0001,aid0001,2022-08-02 13:17:11+00:00,23096,005,0601,True,,48168.0,,25028.0,,,3284.0,,,100.0,,28.0,,,,
SDS_CloudMask_2022215_aid0001,aid0001,2022-08-03 17:19:33+00:00,23114,014,0601,True,,76466.0,,,,,,,,142.0,,,,,,
SDS_CloudMask_2022216_aid0001,aid0001,2022-08-04 13:17:00+00:00,23127,006,0601,True,8998.0,12036.0,,,,,,,4.0,22.0,,,,,,
SDS_CloudMask_2022216_aid0001,aid0001,2022-08-04 16:30:42+00:00,23129,012,0601,True,,76470.0,,,,,,,,138.0,,,,,,
SDS_CloudMask_2022217_aid0001,aid0001,2022-08-05 12:28:48+00:00,23142,007,0601,True,,18937.0,,23147.0,,375.0,30588.0,3427.0,,28.0,,34.0,,,72.0,
SDS_CloudMask_2022218_aid0001,aid0001,2022-08-06 11:39:50+00:00,23157,007,0601,True,,,,1.0,,47293.0,39.0,28909.0,,,,51.0,,34.0,23.0,30.0
SDS_CloudMask_2022219_aid0001,aid0001,2022-08-07 15:42:20+00:00,23175,013,0601,True,,,,3254.0,,4268.0,41408.0,27879.0,,,,9.0,,,126.0,
SDS_CloudMask_2022220_aid0001,aid0001,2022-08-08 11:39:12+00:00,23188,008,0601,True,,26344.0,,41581.0,,18.0,8533.0,,,28.0,,79.0,,,25.0,
SDS_CloudMask_2022220_aid0001,aid0001,2022-08-08 14:53:44+00:00,23190,013,0601,True,,66667.0,,9207.0,,,604.0,,,130.0,,,,,,
