File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,3,7,15,16386,16390,16399,16450,16454,16514,16518,16578,16582,16834,16838,17088,17089,17090,17094,17538,17602,17606,17856,17858,17862,18112,18113,18114,18117,18118,18562,18626,18630,18880,18882,18885,18886,19136,19137,19138,19141,19142,19650,19904,19906,19909,19910,20160,20162,20165,20166,32783,32962,33218,33222,33472,33474,33478,33986,34240,34242,34246,34496,34497,34498,34502,35010,35264,35266,35269,35270,35520,35521,35522,35525,35526,36288,36290,36293,36294,36544,36546,36549,36550,36930,36934,36994,36998,37058,37062,37314,37318,37568,37569,37570,37573,37574,38338,38592,38593,38594,38597,38598,38848,38849,38850,38854,39362,39366,39616,39617,39618,39621,39622,39872,39873,39874,39877,39878,40386,40640,40642,40645,40646,40896,40898,40901,40902,43712,43714,43717,44736,44738,44741,44742
SDS_QC_2022162_aid0001,aid0001,2022-06-11 14:15:11+00:00,22289,013,0601,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,474.0,14.0,,,1.0,,233.0,10.0,1348.0,95.0,,,30.0,,,16180.0,116.0,9976.0,746.0,625.0,,9.0,,,32182.0,11585.0,2100.0,812.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,33.0,,,,,,,,,,21.0,,,,,,,,,,,,,
SDS_QC_2022163_aid0001,aid0001,2022-06-12 10:12:18+00:00,22302,006,0601,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,249.0,6.0,,5.0,,8.0,20.0,,,,,21048.0,487.0,,820.0,,164.0,65.0,,6.0,,,51356.0,,2254.0,,114.0,,1.0,,,,,,,,
SDS_QC_2022163_aid0001,aid0001,2022-06-12 13:26:53+00:00,22304,013,0601,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,1.0,,,311.0,4.0,,7.0,,20.0,16.0,,,,,22612.0,168.0,,521.0,,548.0,85.0,,13.0,,,49505.0,,2012.0,,771.0,,6.0,,,,,,,,
SDS_QC_2022164_aid0001,aid0001,2022-06-13 09:24:20+00:00,22317,008,0601,True,,,,,,,,,,,1768.0,196.0,9886.0,403.0,,,299.0,15.0,,2277.0,3.0,,22785.0,726.0,,,282.0,,15.0,,567.0,,,23064.0,,707.0,,,342.0,,29.0,1.0,,1581.0,,17.0,,7.0,,,,5.0,765.0,4.0,,3.0,,13.0,,3417.0,53.0,,,16.0,2.0,6.0,,6019.0,,473.0,,,46.0,,6.0,,790.0,,9.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022165_aid0001,aid0001,2022-06-14 08:35:16+00:00,22332,005,0601,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,,,14.0,,,,,,932.0,,4.0,,,,,,,,,,,,,,,,8.0,,,5.0,,,,,,,,5357.0,54.0,82.0,583.0,,,5.0,,,,,16452.0,29.0,2264.0,,,,,,,,,,,,
SDS_QC_2022165_aid0001,aid0001,2022-06-14 08:36:08+00:00,22332,006,0601,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,62.0,,,,,,,,,16397.0,192.0,3945.0,143.0,427.0,2.0,7.0,,,,,40101.0,4876.0,534.0,360.0,,,,,,,,,,,
SDS_QC_2022167_aid0001,aid0001,2022-06-16 08:35:41+00:00,22363,006,0601,True,,,,,,,,,,,3934.0,201.0,30597.0,1426.0,,,8935.0,236.0,,242.0,,,3415.0,108.0,,,8958.0,,262.0,,21.0,,,2197.0,,66.0,1.0,,14239.0,,561.0,,,187.0,,7.0,,833.0,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022167_aid0001,aid0001,2022-06-16 11:49:21+00:00,22365,009,0601,True,976.0,65.0,,45736.0,1913.0,,905.0,27.0,1821.0,42.0,2713.0,159.0,9138.0,223.0,,,966.0,28.0,,15.0,1.0,,1446.0,33.0,,,1559.0,,57.0,,5.0,7.0,,726.0,,5.0,,,6314.0,,179.0,1.0,,2.0,,,,1669.0,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022171_aid0001,aid0001,2022-06-20 06:59:17+00:00,22424,007,0601,True,251.0,,,73583.0,3110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS_QC_2022171_aid0001,aid0001,2022-06-20 10:13:02+00:00,22426,010,0601,True,,,,,,,,,,,346.0,12.0,42714.0,1813.0,,,792.0,30.0,,298.0,,,19420.0,778.0,,,1445.0,,28.0,,71.0,,,5760.0,,299.0,,,2344.0,,139.0,2.0,,77.0,,16.0,,457.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
